HolderAddress,Balance
0xb97D7C44cA03abA8d41FDaC81683312e4ACbba00,85338592897962658303990
0x2f8448a0225b757Fa0EC757D0A7f3DD612Dc874a,45730300858572734168590
0xdC1640e2B2985e95966049dFeEA86EE09E914F04,20000392354605305188263
0x111D7199F60415305aa116c8ea8a958964924957,10000004748083450438831
0x59A0e25d531AFa328a35063d3A07e27cc3477102,9007577726238941068781
0x5A9B2De60F3983dB254846f13e76dB9c590825B6,8823858011733148643408
0x66B41e7A349A42590FC4cd6433aE18ae7845D622,5643029860114016269389
0x55b675FC360714d6ceE43A58eB05673339D7Ba36,5101712106294479595494
0xf3f6b62940e68a49964f2556Fe5094031feF642d,3328405520006649312669
0x86133C621ae2561e3C5B7C9ddBD6eCc12086b271,3037105933858731189154
0xcc0F0B6C1B23aEf12e35CD616e14122737a056A4,3011975066516857542288
0x2817D13Ed8ED176CD99684C8BD5BDb0145667228,3000004551152650267119
0x7C5288cc13A8e3b8c14fc51d1dcda3ea6ef3FDc1,3000001478938805831870
0x404387CfA1791D55cf19FE119431215B60B18811,2850002483626304405730
0x8355be55CCF2dEE00ab5cC6d62f81eA97A8fF35D,2520464104844477229597
0x850AafBDCf42BD7AFA6E0d300F9dF44447945F6f,2500000047454862249198
0x97cdd8176084B24ae8a385d4eA9177C31bA0022B,2000000866724616148769
0xa3B64966A6C9DfA52873d2Ea749D40c2103bFB91,1966976216957690193325
0xeeC6bE2987d9d0CE8805dfca4Dc57aD63633C075,1700000183106700373741
0x602C5F89273C785a42a67552149bA2c1eb574E4a,1625001212733521290867
0x52327e92A8c5E474d221cA3393Dc5f19f62Ce85A,1500001391719854532411
0x8906B2b1A2bDc52DbAf8939a7F6017FDD178bA69,1400000030818618294187
0x47861e43Bc32d56d9AB476C2e04560993Dce1CD9,1122000019584837079239
0xe4104d59710b8D9f583f871f8A5C445850c7A41f,1000000005957893540441
0x020F64F264ab7e90Ef24a108C379a796a82175dF,938291483726832855671
0x5CA83563DBdf288c9499062b687c20483F3E4716,901927005666950233506
0x78ba19ed7238555aFaB47Fb10B908074D3865b2B,900269127802657746965
0x1b067A433Ba5392041143d2acf228278054dd525,900037578149110695952
0x9608Ff1823bEbad2a30201FabC60Ce5e91f61dAB,810274280295770541438
0x01602440213D10820B775a9E23ec840fC8725048,800038329904810644076
0x3317Fe034c5B5F00f91F4423A9072D7B38a5461C,755000027338387664886
0x1b6f876416fD17e0f0CF2B7C47b0f13408156dbe,673869824492451905721
0x594Ef2480db681c1Abdd1BdB049dAd2c3Dda2199,643097403904571648091
0x8D860cF135fd28d2E5654E7c7F8AB17314138Abf,639572764458119774454
0x885673c945Ea4Fb71006944C8a689E7deCDAe0a7,628991971736225970961
0xAD1f1867ae1Eb30F185e1bE2c176EF4ad18dFcDe,600000004957012278857
0xb591F8BAe0a83D1B339D9fDCd0EEdDA49610fb6D,598059783734301296862
0xDAa9Fa2C35f07e08b2d0426F44eaDE88fEDA509d,525000017033072997468
0xeEfF94Ac3b66F7c8950134e41DAdDa53Cd6eEA6b,500000510025669703653
