HolderAddress,Balance
0xFE55D3eF39A25E55818e1A3900D41F561a75f4ea,1285821330
0x973d3C4529f7928e8f4A72e815017681408Ab53c,377953411
0x1CCD8Ff59612D4108d9BbE5F16ADd545EFC6Fdbe,345161994
0xe639fA0647a2D9c61ea33B5dEb0DF3c7c0A68760,315634498
0x6F8025ff23380cb6a56c384522d0b96E7024Ff41,216935444
0x439eC648f807241daE2ec492fe7Da56E281b9CEc,201421429
0x01602440213D10820B775a9E23ec840fC8725048,140449667
0x1B0D7547BB9350Ff3630ecCe05196B81cE1fDA84,102665521
0x4ce45714d97B71Bbd6fcD97fbb7A9cb74b4b84b2,100853797
0x121CdaEF7F950deFdF4D9c04F483A7F7Fd32d085,100443890
0xF278aA813aA15EB78876c3D68ce2f57C3eD4847C,100000014
0xE9D0dED88Bb4f78C405ae2382E3d92DA5cF24321,99593226
0x7C5288cc13A8e3b8c14fc51d1dcda3ea6ef3FDc1,80603658
0xb16EBc67604F59f310d903d8d3Dbce89301cF557,71343602
0xDc3B17B7787FeAb3e68e187F9D1aBE4c2F0c3D8D,58641331
0x3D37C6c225C92476F7CC7882e705A24674639311,51273038
0xc384F112b84F751bDDc66a4191c27E2b3992226B,50479712
0x07FBbAaEE37E3e0Db0a167f38778cc4ef9390464,50438571
0x8eB441E80563E1b400981A2A4bD9678bD703DC31,46250191
0x769538c3ba280Cb7B5018239937cc8F92458e689,40000020
0x90C0Bf8D71369d21F8ADDF0Da33D21DcB0B1C384,39512533
0xCC2a75A68F255aC4708e3F662719852aE1acb371,33166509
0x44646C1823433071cb4d60E90738161F7a056cc1,32826937
0xc79619967055B68715997A9C2768f0e1A6D69923,31298391
0x162E50e6F3F86A81e12393CCD509fAafEb890be4,28123640
0x5824125028Eef31Df792Fd3FB5bC7856676a13B1,26101652
0x01DB33a57f16be41C5a44Aef8D884Da27d181703,24595213
0x52125738A4ac48f5A620756e6c63DeE6aa021562,24329716
0x7442Ecc6C7545001Fa111b2536BBC1162B01646F,22328410
0x59F59f7458216028CEE68318E333b3E2c00928a0,20208272
0xE61A3E18Ba77546032F1eCEB2a6068f2f9B63412,20000002
0xfAD52C91dE37230cBA7eA5b3aE98Ed44b1737Ef6,18000000
0x6315Ef9b2ea6B1d8df704c86c27Aa161Dd2dBeB3,17495703
0xCe3ddf9436bFCC3D9bdb1810B88F07EE84da5616,16738182
0xf3f6b62940e68a49964f2556Fe5094031feF642d,15163582
0x103cbEBEaF3f81C160898d4aaf389096F694dE7A,15091332
0x5f15420e1bC73D04BeF2b9dE843758b6416A2d15,14916813
0x2734cDafC31D863A21174F69a5758903BDfd914e,14124784
0xb4c16e9FA59D1C91b53eBD963A46A2D62777515F,12700013
0x3D37C6c225C92476F7CC7882e705A24674639311,11593311
0x17f399b82f488d2eD876239853b94c4022e6c4aF,9962065
0x0818F6E98A6b62E02A6A258458Dfb579FD2387C6,7797019
0xec76D5162BF832F12831Ab118F5dbB58419d76c9,7222916
0x60deC93EDC9e9678267e695B8F894643bE968F2e,6001474
0x188f21519bea307d59aE58c676faCb0CDDd22A71,5793580
0x17aFb40dFC76d76bC410e739333D05BFC5238195,5486092
0x78Ca925C7e0dD70F07e06d90784E32e388e3029E,5169621
0x1ffF93c4689fb9DCEedd3C69cC6cAEFAD7Cf7713,5000000
0x84912149f93D963ad5Ddc3c2781B1950d160a4DA,4443365
0xfF08F103A63A653D518bD9f8A837b795c6f110c3,4413740
0xdA821A84511d6448024C584dD472FF50Dc449307,3574859
0x6bf6e237c33148422DbEC69f25Dddd7B7A7eCfd6,3558904
0xD5Da678Bf9B7818ed134830c13Cf94E626f0F9ed,3216748
0x183a40522CB917243F0e9F12397B4263f8473159,3039976
0xC950ef7A8c331bBb662e3B34eDc566c2b33d6A70,3000000
0x6d7e6C82198015b01aFB4E157a99e3F220067a2C,2997011
0xe5d46293f603DDbE9415b607276163ACA31af8dA,2528463
0xC97327DAacc4BE88D5Ab2e910EB4f82351711c28,2226429
0x2803c2DF4cBFB581b03F5857EBC55c47F549D65A,2012745
0x428928f76904E37bF0Cc96076DFBDA60954a2CEE,2000000
0x8A1eafcD0f14Dd5c64182DF7FD7e409D393A25BE,1875582
0x7CC3Bc95c99dD5A6B9E8A59f42e60860Bc6753B1,1794730
0x1C7F9A756b08753CF8dA94d394659134Bb8c5539,1619235
0x97A232B0722866d98c8C95f1789552259C28662c,1488789
0x824e777eb42b8abB95DdFa67bAF9b21f0Bca61b1,1463364
0xD707EA46C8e5D8ea0e171625d1Da770a8FED59f7,1208021
0xe51A1ba2fF7f44fbfc0BeFE2EBD91164f646A276,1174170
0xe4c5EB8D89da3c24341A022fdd57b6F03cDF9129,1170416
0x1247F0cb8F7B0e2eDfa9750df07417D17b5127d6,1162146
0x8Bf16200F52E41ec8875D8c9Cebe30722041CaEE,1126880
0xdC390004704c38AE53C86788e24330DDEfc4F712,1090742
0x4C6989B043aBf8FBFF6330552ebB6d64F489316a,1010733
0xe2Ee4B240c570F6206745A8588B37a6eac692B86,1000000
0x8Ca5ea4fB208C600981eFfbFa907982ec45a4DD6,738292
0x3547beF33259b3E6EE5eBEDddb5114c559025018,621438
0xa70d7F7b7Ff356E904B5f7Afe2f41e8F9005434E,496125
0x3eEDA72AC504da4F334E87ca64E825CD3f76eEc3,400000
0xE04DA8b5d36515E8E214c19f0c3013eaD7d8e71a,235885
0x147B1A44025d8cc1d50f5e66893F28Bf23426eF5,183842
0x5C23Bd1BD272D22766eB3708B8f874CB93B75248,181036
