HolderAddress,Balance
0x5372e56628399CD2d3a21EeAF394e82b1f0FAB9C,100000077241842580049
0x41968d7d9f6Bf70A614724Fd03DcEDbE070366A5,89830592037990157655
0xe639fA0647a2D9c61ea33B5dEb0DF3c7c0A68760,26518854727668641123
0x8eB441E80563E1b400981A2A4bD9678bD703DC31,21498301761523369718
0xFECE700010d5bbDf911AD127ee13516E5ca72279,11489843825671028552
0x8355be55CCF2dEE00ab5cC6d62f81eA97A8fF35D,5722023133078552745
0x17f399b82f488d2eD876239853b94c4022e6c4aF,5327905883596642469
0x2cd6cBf97CCFa8FddD49c614Cd8e3ce80131723C,5185070500575066913
0x5559f138Ae7ad7743CE075a0D66e1b46cA89Cc0a,2554751713711354079
0x84912149f93D963ad5Ddc3c2781B1950d160a4DA,1187221096903314228
0x65609105a0669aFDF859d86C8B5c29BB2681789a,1009091745363327397
0x9772FEDC43123A6EFbd1965617d0e079DE2689e4,990836927234556713
0xdC390004704c38AE53C86788e24330DDEfc4F712,433656524213585237
0xFC7e5089dAeAe9a62261437eAD0B2E5D430A685B,314538477409607633
0xa6CF9bf8EcaFf5300E38C0169FF45bd9A5E15116,305436183411117921
0xb4c16e9FA59D1C91b53eBD963A46A2D62777515F,304647233624219797
0x20F37c25c5d1C41c054F355169546F6BeCDF5751,248534540635576898
0x111AfbA394095a8e50f54689b3981e1F58363301,192354629446235311
0xA1b29e7db725f795CAFED40223445b805F0c8A7E,87639273409251630
0x1B3984BC8010f29360Cdc42A3cFb2AEA9d764037,73467799536277390
0x287490e8Fb812e0949e039DeD08327f9DDa9dad1,64946288403449576
0x78768d0c41d6F41A1b176122eae24D51eC339FC9,52327649646899500
0xa70d7F7b7Ff356E904B5f7Afe2f41e8F9005434E,27336370532421435
0x698A00C4546432b2ad17629Ee68b95783800321D,21320000080934984
0x2178A91850D5103C2b4d6B3971952EcD22f19699,16120627386034118
0xB2e9bC43653BDdbFE3F5f00C1159D4Be2f3D0b89,11500242184680972
0xD2080492c161628c962749F1C41FF6dC211fEEFa,9155109886851587
0x7911670881A81F8410d06053d7B3c237cE77b9B4,7176854653749968
0x5C23Bd1BD272D22766eB3708B8f874CB93B75248,6367355699379194
0x72bf67eCBaaB144a84Fb4a81f011Cd27b3cF05a1,6067423982593672
0xC6ba6BB819f1Be84EFeB2E3f2697AD9818151e5D,4316727147719384
0x83C3c4B58b70067BFb23B7875FEb63241F9e7668,3235998759546412
0x5D80a1c0a5084163F1D2620c1B1F43209cd4dB12,3018845572605468
0x4120E15784cCfD7ACF246532Ce4D3a62914f52CF,1363504302957050
0xFbd9275BF42f21B7CB857E6C00FFCB99443718B5,969000710093981
0xd8de8efcfAC16C277F18f7f019D0e8b8c2abbe08,860259738858856
0x1C74b67F9C6dD986E4735B3e2b34BC1eaA828A20,797826916708795
0xb56C09901fcBAD33a3d5447D5218123B92DF5156,427620389718484
0xC73DF1e68FC203F6E4b6270240D6f82A850e8D38,266139192430069
0x8D1e46e92dC5B24c09bDf46F9B7D20a8e47cea70,261264696327477
0xb79c2A75cd9073d68E75ddF71D53C07747Df7933,234226923502607
0x947DdFcE2Df12F5ea64490a0EC0A0590f23A8242,123993608102134
0x7F429edeff8afC7Bb3A2CF7DB832Fc86f6FA99DA,95000026302495
0x5e6C5421B35211206D42078f7287E12Ed26f8238,81949024575965
0x243F860894BE3C3f2d6A13378A48d1A382Ee4C47,53698224962027
0x2dcE97a51d47d502D419C89815C11124413a813F,53643367462824
